MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PLAYER_NAME
@TOR,W,32,9,22,0.409,2,7,0.286,0,0,0.0,1,4,5,6,1,2,2,2,20,12,Jamal Murray
DAL,W,25,8,14,0.571,4,4,1.0,2,2,1.0,0,4,4,2,1,1,2,1,22,18,Jamal Murray
OKC,L,28,5,13,0.385,0,6,0.0,5,5,1.0,1,1,2,5,0,0,1,4,15,-3,Jamal Murray
BKN,W,22,7,15,0.467,2,4,0.5,0,0,0.0,0,1,1,2,3,1,0,2,16,9,Jamal Murray
@ATL,W,29,12,15,0.8,4,5,0.8,1,1,1.0,1,8,9,4,1,2,6,1,29,14,Jamal Murray
HOU,L,32,6,17,0.353,4,8,0.5,5,5,1.0,0,5,5,3,0,0,1,2,21,4,Jamal Murray
@LAC,L,29,10,18,0.556,2,7,0.286,1,1,1.0,0,0,0,6,1,1,1,4,23,2,Jamal Murray
HOU,W,22,4,14,0.286,3,8,0.375,5,5,1.0,0,6,6,6,0,0,0,2,16,14,Jamal Murray
CHI,W,10,1,3,0.333,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,-2,Jamal Murray
DAL,W,39,5,15,0.333,2,6,0.333,6,6,1.0,0,2,2,13,1,0,2,4,18,2,Jamal Murray
@MIN,L,32,5,16,0.313,1,4,0.25,3,5,0.6,2,4,6,6,1,1,3,3,14,-17,Jamal Murray
UTA,W,37,7,19,0.368,3,7,0.429,1,2,0.5,0,3,3,14,0,2,3,0,18,-5,Jamal Murray
@OKC,W,30,9,14,0.643,1,1,1.0,0,0,0.0,1,1,2,8,0,0,4,1,19,22,Jamal Murray
@MEM,W,34,7,17,0.412,4,9,0.444,4,4,1.0,0,1,1,5,0,1,3,2,22,8,Jamal Murray
LAL,W,34,8,13,0.615,3,5,0.6,2,2,1.0,0,2,2,6,0,1,1,3,21,3,Jamal Murray
SAC,W,4,1,1,1.0,1,1,1.0,0,0,0.0,0,2,2,0,0,0,0,0,3,-1,Jay Huff
@GSW,W,2,0,0,0.0,0,0,0.0,2,2,1.0,1,1,2,0,0,0,0,0,2,2,Jay Huff
@POR,W,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-7,Jay Huff
WAS,W,4,1,2,0.5,0,1,0.0,0,0,0.0,0,2,2,0,0,0,0,2,2,-4,Jay Huff
