MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,PLAYER_NAME
@POR,L,29,1,7,0.143,1,4,0.25,2,2,1.0,1,2,3,4,2,0,0,1,5,7,Eric Gordon
WAS,W,30,5,9,0.556,2,6,0.333,1,2,0.5,0,2,2,1,1,0,1,0,13,12,Eric Gordon
GSW,W,32,3,11,0.273,1,6,0.167,1,1,1.0,0,0,0,0,0,0,1,1,8,-12,Eric Gordon
SAC,L,38,7,13,0.538,3,7,0.429,2,2,1.0,0,0,0,3,2,1,4,3,19,-2,Eric Gordon
@LAL,L,35,3,8,0.375,1,4,0.25,0,0,0.0,0,4,4,4,2,1,1,1,7,7,Eric Gordon
DEN,L,33,6,11,0.545,4,7,0.571,0,0,0.0,1,2,3,3,1,1,3,1,16,-6,Eric Gordon
@TOR,L,34,4,9,0.444,2,5,0.4,0,0,0.0,0,1,1,1,1,0,0,2,10,-9,Eric Gordon
@NYK,W,33,9,13,0.692,6,9,0.667,1,2,0.5,0,2,2,2,0,1,2,3,25,0,Eric Gordon
@MEM,W,34,6,15,0.4,4,11,0.364,4,4,1.0,0,1,1,2,0,0,2,0,20,5,Eric Gordon
GSW,W,29,4,12,0.333,3,9,0.333,2,3,0.667,0,1,1,4,3,0,2,3,13,9,Eric Gordon
POR,W,36,4,5,0.8,2,3,0.667,0,0,0.0,0,2,2,4,1,1,2,2,10,13,Eric Gordon
@UTA,W,41,7,16,0.438,5,12,0.417,1,2,0.5,1,4,5,6,2,2,1,3,20,5,Eric Gordon
@UTA,W,33,5,12,0.417,4,8,0.5,0,0,0.0,0,2,2,1,1,1,1,2,14,-2,Eric Gordon
MIN,W,29,6,9,0.667,3,6,0.5,0,0,0.0,0,1,1,3,0,0,1,2,15,19,Eric Gordon
LAL,L,28,5,9,0.556,3,4,0.75,0,0,0.0,1,1,2,2,3,0,1,0,13,3,Eric Gordon
@CHI,W,25,1,9,0.111,0,8,0.0,0,0,0.0,0,1,1,2,0,0,3,1,2,-16,Eric Gordon
@DET,W,31,8,14,0.571,3,5,0.6,2,2,1.0,2,3,5,8,1,0,1,0,21,23,Eric Gordon
@PHI,L,34,6,15,0.4,1,4,0.25,0,0,0.0,0,1,1,3,2,2,1,1,13,-19,Eric Gordon
SAS,L,24,3,5,0.6,1,2,0.5,0,0,0.0,0,1,1,1,1,1,0,1,7,-2,Eric Gordon
SAS,L,36,8,14,0.571,4,9,0.444,0,0,0.0,0,2,2,6,0,0,4,1,20,8,Eric Gordon
UTA,W,26,9,14,0.643,3,7,0.429,0,0,0.0,0,2,2,4,1,0,0,1,21,23,Eric Gordon
